Franchise,Rank,Release,lifetime_gross,Max_Theaters,opening_gross,Open_Theaters,Release_Date,Distributor
Marvel Cinematic Universe,1,Avengers: Endgame,858373000,"4,662",357115007,"4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,2,Black Panther,700059566,"4,084",202003951,"4,020","Feb 16, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,3,Avengers: Infinity War,678815482,"4,474",257698183,"4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,4,The Avengers,623357910,"4,349",207438708,"4,349","May 4, 2012",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,5,Avengers: Age of Ultron,459005868,"4,276",191271109,"4,276","May 1, 2015",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,6,Captain Marvel,426829839,"4,310",153433423,"4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,7,Iron Man 3,409013994,"4,253",174144585,"4,253","May 3, 2013",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,8,Captain America: Civil War,408084349,"4,226",179139142,"4,226","May 6, 2016",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,9,Spider-Man: Far from Home,390532085,"4,634",92579212,"4,634","Jul 2, 2019",Sony Pictures Releasing
Marvel Cinematic Universe,10,Guardians of the Galaxy Vol. 2,389813101,"4,347",146510104,"4,347","May 5, 2017",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,11,Spider-Man: Homecoming,334201140,"4,348",117027503,"4,348","Jul 7, 2017",Sony Pictures Releasing
Marvel Cinematic Universe,12,Guardians of the Galaxy,333176600,"4,088",94320883,"4,080","Aug 1, 2014",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,13,Iron Man,318604126,"4,154",98618668,"4,105","May 2, 2008",Paramount Pictures
Marvel Cinematic Universe,14,Thor: Ragnarok,315058289,"4,080",122744989,"4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,15,Iron Man 2,312433331,"4,390",128122480,"4,380","May 7, 2010",Paramount Pictures
Marvel Cinematic Universe,16,Captain America: The Winter Soldier,259766572,"3,938",95023721,"3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,17,Doctor Strange,232641920,"3,882",85058311,"3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,18,Ant-Man and the Wasp,216648740,"4,206",75812205,"4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,19,Thor: The Dark World,206362140,"3,841",85737841,"3,841","Nov 8, 2013",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,20,Thor,181030624,"3,963",65723338,"3,955","May 6, 2011",Paramount Pictures
Marvel Cinematic Universe,21,Ant-Man,180202163,"3,868",57225526,"3,856","Jul 17, 2015",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,22,Captain America: The First Avenger,176654505,"3,715",65058524,"3,715","Jul 22, 2011",Paramount Pictures
Marvel Cinematic Universe,23,The Incredible Hulk,134806913,"3,508",55414050,"3,505","Jun 13, 2008",Universal Pictures
Marvel Cinematic Universe,-,Untitled Marvel (Feb 2023),0,-,0,-,"Feb 17, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (May 2023),0,-,0,-,"May 5, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (July 2023),0,-,0,-,"Jul 28, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (Nov 2023),0,-,0,-,"Nov 3, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Black Widow,0,-,0,-,"Nov 6, 2020",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Eternals,0,-,0,-,"Feb 12, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Doctor Strange in the Multiverse of Madness,0,-,0,-,"Nov 5, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Shang-Chi and the Legend of the Ten Rings,0,-,0,-,"May 7, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Thor: Love and Thunder,0,-,0,-,"Feb 18, 2022",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Black Panther II,0,-,0,-,"May 6, 2022",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Spider-Man Sequel,0,-,0,-,"Jul 16, 2021",Sony Pictures Releasing
Marvel Cinematic Universe,-,Untitled Marvel (Oct 2022),0,-,0,-,"Oct 7, 2022",Walt Disney Studios Motion Pictures
Star Wars,1,Star Wars: Episode VII - The Force Awakens,936662225,"4,134",247966675,"4,134","Dec 18, 2015",Walt Disney Studios Motion Pictures
Star Wars,2,Star Wars: Episode VIII - The Last Jedi,620181382,"4,232",220009584,"4,232","Dec 15, 2017",Walt Disney Studios Motion Pictures
Star Wars,3,Rogue One: A Star Wars Story,532177324,"4,157",155081681,"4,157","Dec 16, 2016",Walt Disney Studios Motion Pictures
Star Wars,4,Star Wars: Episode IX - The Rise of Skywalker,515202542,"4,406",177383864,"4,406","Dec 20, 2019",Walt Disney Studios Motion Pictures
Star Wars,5,Star Wars: Episode I - The Phantom Menace,431088295,"3,126",64820970,"2,970","May 19, 1999",Twentieth Century Fox
Star Wars,6,Star Wars: Episode III - Revenge of the Sith,380270577,"3,663",108435841,"3,661","May 19, 2005",Twentieth Century Fox
Star Wars,7,Star Wars: Episode IV - A New Hope,307263857,"1,750",1554475,43,"May 25, 1977",Twentieth Century Fox
Star Wars,8,Star Wars: Episode II - Attack of the Clones,302191252,"3,161",80027814,"3,161","May 16, 2002",Twentieth Century Fox
Star Wars,9,Star Wars: Episode VI - Return of the Jedi,252583617,"1,764",23019618,"1,002","May 25, 1983",Twentieth Century Fox
Star Wars,10,Solo: A Star Wars Story,213767512,"4,381",84420489,"4,381","May 25, 2018",Walt Disney Studios Motion Pictures
Star Wars,11,Star Wars: Episode V - The Empire Strikes Back,209398025,"1,278",4910483,126,"May 21, 1980",Twentieth Century Fox
Star Wars,12,Star Wars: Episode IV - A New Hope1997 Special Edition,138257865,"2,375",35906661,"2,104","Jan 31, 1997",Twentieth Century Fox
Star Wars,13,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,67597694,"2,322",21975993,"2,111","Feb 21, 1997",Twentieth Century Fox
