Release_Date,Title,Production_Budget,Opening_Weekend,Domestic_Box_Office,Worldwide_Box_Office
"Apr 26, 2019",Avengers: Endgame,400000000,357115007,858373000,2797800564
"Apr 27, 2018",Avengers: Infinity War,300000000,257698183,678815482,2048359754
"May 4, 2012",The Avengers,225000000,207438708,623357910,1518812988
"May 1, 2015",Avengers: Age of Ultron,365000000,191271109,459005868,1403013963
"Feb 16, 2018",Black Panther,200000000,202003951,700059566,1346913161
"May 3, 2013",Iron Man 3,200000000,174144585,408992272,1215392272
"May 6, 2016",Captain America: Civil War,250000000,179139142,408084349,1153284349
"Mar 8, 2019",Captain Marvel,175000000,153433423,426829839,1129729839
"Jul 2, 2019",Spider-Man: Far From Home,160000000,92579212,390532085,1128991628
"Jul 7, 2017",Spider-Man: Homecoming,175000000,117027503,334201140,880166350
"May 5, 2017",Guardians of the Galaxy Vol 2,200000000,146510104,389813101,869113101
"Nov 3, 2017",Thor: Ragnarok,180000000,122744989,315058289,853958289
"Aug 1, 2014",Guardians of the Galaxy,170000000,94320883,333172112,772772112
"Apr 4, 2014",Captain America: The Winter Soldier,170000000,95023721,259746958,714401889
"Nov 4, 2016",Doctor Strange,165000000,85058311,232641920,676404566
"Nov 8, 2013",Thor: The Dark World,150000000,85737841,206362140,644602516
"Jul 6, 2018",Ant-Man and the Wasp,130000000,75812205,216648740,623144660
"May 7, 2010",Iron Man 2,170000000,128122480,312433331,621156389
"May 2, 2008",Iron Man,186000000,102118668,318604126,585171547
"Jul 17, 2015",Ant-Man,130000000,57225526,180202163,518858449
"May 6, 2011",Thor,150000000,65723338,181030624,449326618
"Jul 22, 2011",Captain America: The First Avenger,140000000,65058524,176654505,370569776
"Jun 13, 2008",The Incredible Hulk,137500000,55414050,134806913,265573859
